day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file,ts__hr_time_series__len_raw,ts__hr_time_series__nan_frac_raw,ts__hr_time_series__len,ts__hr_time_series__mean,ts__hr_time_series__std,ts__hr_time_series__min,ts__hr_time_series__max,ts__hr_time_series__range,ts__hr_time_series__median,ts__hr_time_series__mad,ts__hr_time_series__energy,ts__hr_time_series__q10,ts__hr_time_series__q25,ts__hr_time_series__q50,ts__hr_time_series__q75,ts__hr_time_series__q90,ts__hr_time_series__slope,ts__hr_time_series__diff_mean,ts__hr_time_series__diff_std,ts__hr_time_series__diff_abs_mean,ts__resp_time_series__len_raw,ts__resp_time_series__neg_frac_raw,ts__resp_time_series__neg_count_raw,ts__resp_time_series__used,ts__resp_time_series__len,ts__resp_time_series__mean,ts__resp_time_series__std,ts__resp_time_series__min,ts__resp_time_series__max,ts__resp_time_series__range,ts__resp_time_series__median,ts__resp_time_series__mad,ts__resp_time_series__energy,ts__resp_time_series__q10,ts__resp_time_series__q25,ts__resp_time_series__q50,ts__resp_time_series__q75,ts__resp_time_series__q90,ts__resp_time_series__slope,ts__resp_time_series__diff_mean,ts__resp_time_series__diff_std,ts__resp_time_series__diff_abs_mean,ts__stress_time_series__len_raw,ts__stress_time_series__neg_frac_raw,ts__stress_time_series__neg_count_raw,ts__stress_time_series__used,ts__stress_time_series__len,ts__stress_time_series__mean,ts__stress_time_series__std,ts__stress_time_series__min,ts__stress_time_series__max,ts__stress_time_series__range,ts__stress_time_series__median,ts__stress_time_series__mad,ts__stress_time_series__energy,ts__stress_time_series__q10,ts__stress_time_series__q25,ts__stress_time_series__q50,ts__stress_time_series__q75,ts__stress_time_series__q90,ts__stress_time_series__slope,ts__stress_time_series__diff_mean,ts__stress_time_series__diff_std,ts__stress_time_series__diff_abs_mean
0,74,126.0,47.0,48.0,51.0,6.0,23.0,16.0,15.0,15.0,99.0,22.0,24840.0,0.0,0.0,6420.0,14400.0,4020.0,120.0,1936.0,260.0,6231.0,15.0,10.0,19.0,0.0,4.0,52.0,group1,10,dataset_user_10_train.csv,519.0,0.005780346820809248,516.0,64.74806201550388,16.927527238635854,47.0,126.0,79.0,57.0,7.0,4478.852713178295,50.0,52.0,57.0,75.0,92.0,0.08311345173996076,0.040776699029126215,4.694169837649655,3.0776699029126213,672.0,0.30952380952380953,208.0,1.0,464.0,15.497844827586206,2.576417355498644,7.0,23.0,16.0,15.5,1.5,246.82112068965517,12.0,14.0,15.5,17.0,19.0,0.003464672770561003,0.02159827213822894,2.453799459364777,1.6198704103671706,449.0,0.35634743875278396,160.0,1.0,289.0,21.54325259515571,25.880060683424187,1.0,98.0,97.0,12.0,10.0,1133.8892733564014,2.0,3.0,12.0,24.0,67.0,0.23304448554269577,0.19444444444444445,7.138294398074392,3.951388888888889
0,87,110.0,58.0,62.0,60.0,7.0,24.0,16.0,16.0,15.0,88.0,21.0,25140.0,0.0,0.0,6720.0,14280.0,4140.0,60.0,2167.0,142.0,2269.0,16.0,13.0,19.0,0.0,15.0,68.0,group1,37,dataset_user_37_train.csv,604.0,0.0033112582781456954,602.0,74.01827242524917,8.67853339372407,58.0,110.0,52.0,73.0,6.0,5554.0215946843855,63.0,67.0,73.0,79.0,84.0,0.017224918464377632,-0.024958402662229616,5.2324702386733595,3.3527454242928454,720.0,0.23194444444444445,167.0,1.0,553.0,15.79746835443038,2.0444059676963935,9.0,22.0,13.0,16.0,1.0,253.7396021699819,13.0,15.0,16.0,17.0,18.0,0.0009664611032756644,0.0,2.0305635685191197,1.423913043478261,480.0,0.25416666666666665,122.0,1.0,358.0,20.952513966480446,15.138115785853085,1.0,85.0,84.0,19.0,9.5,668.1703910614525,3.0,9.0,19.0,28.0,40.0,0.056374744852890506,-0.0896358543417367,9.986423788898986,6.078431372549019
1,84,106.0,51.0,58.0,60.0,8.0,23.0,16.0,15.0,15.0,93.0,22.0,28800.0,0.0,0.0,4680.0,19560.0,4560.0,1080.0,2158.0,133.0,2962.0,15.0,12.0,20.0,1.0,5.0,61.0,group1,37,dataset_user_37_train.csv,693.0,0.001443001443001443,692.0,72.80057803468208,10.782966642259098,51.0,106.0,55.0,73.5,9.5,5416.196531791908,60.0,62.0,73.5,80.0,87.0,0.03511258043936662,0.004341534008683068,5.013005802045609,3.390738060781476,720.0,0.1361111111111111,98.0,1.0,622.0,15.30225080385852,2.033156373085693,8.0,21.0,13.0,15.0,1.0,238.2926045016077,13.0,14.0,15.0,17.0,18.0,0.003567917327681833,-0.00322061191626409,2.0469503488649807,1.423510466988728,480.0,0.16041666666666668,77.0,1.0,403.0,21.89578163771712,17.895590681177538,1.0,84.0,83.0,19.0,14.0,799.6774193548387,3.0,5.0,19.0,34.0,46.0,0.1018121441046738,0.029850746268656716,9.844770537848886,6.069651741293533
2,87,184.0,52.0,55.0,52.0,8.0,21.0,14.0,15.0,14.0,93.0,34.0,25230.0,0.0,0.0,5730.0,16890.0,3510.0,600.0,2265.0,589.0,13099.0,15.0,11.0,18.0,0.5,15.5,56.0,group1,10,dataset_user_10_train.csv,384.0,0.005208333333333333,382.0,78.55235602094241,22.85628059225719,52.0,184.0,132.0,70.0,10.0,6692.88219895288,60.0,63.0,70.0,88.0,105.7000000000001,-0.14205874840467575,-0.13910761154855644,7.3733625873181365,4.7795275590551185,720.0,0.1625,117.0,1.0,603.0,14.131011608623549,2.3324981031486263,8.0,21.0,13.0,14.0,1.0,205.12603648424545,11.0,13.0,14.0,15.0,17.0,-0.00021952458560424407,0.0033222591362126247,2.4242659455089424,1.6777408637873754,480.0,0.6458333333333334,310.0,0.0,341.0,26.31675392670157,19.82361484198304,3.0,96.0,91.0,22.0,8.0,1091.954682779456,9.0,13.0,22.0,32.0,61.0,0.0872552629689623,0.0,9.081202552765205,5.389355742296919
2,84,121.0,58.0,49.5,63.0,7.0,21.0,13.0,15.0,15.0,95.0,23.0,24150.0,0.0,0.0,5520.0,14580.0,4260.0,300.0,2244.0,192.0,3133.0,14.0,11.0,18.0,0.0,7.0,53.0,group1,19,dataset_user_19_train.csv,152.0,0.019736842105263157,149.0,77.12751677852349,13.851217372226584,58.0,121.0,63.0,74.0,8.0,6140.5100671140935,63.0,66.0,74.0,83.0,96.0,-0.20175584980954103,-0.14189189189189189,6.729332860326452,4.75,265.0,0.22641509433962265,60.0,1.0,205.0,13.307317073170731,2.5563302817164884,8.0,20.0,12.0,13.0,2.0,183.61951219512196,10.0,12.0,13.0,15.0,17.0,-0.0072070315220570825,-0.029411764705882353,2.7276934246144893,2.156862745098039,178.0,0.5898876404494382,105.0,0.0,323.5,28.894935517921887,19.793379883362498,2.0,87.5,83.0,23.0,11.75,1006.6630496250081,6.5,11.5,23.0,35.0,51.900000000000006,0.10612603266974169,0.010405124653739613,9.9583437574491,6.6445708955223886
2,54,144.0,54.0,57.0,60.0,7.0,22.0,14.0,15.0,14.0,99.0,39.0,26580.0,0.0,0.0,6000.0,16680.0,3900.0,1020.0,2262.0,237.0,3663.0,15.0,11.0,20.0,1.0,9.0,61.0,group1,37,dataset_user_37_train.csv,707.0,0.002828854314002829,705.0,81.25106382978723,18.216996260881633,54.0,144.0,90.0,84.0,17.0,6933.594326241135,60.0,63.0,84.0,94.0,104.0,0.07146683442830451,0.046875,6.7921090918942975,4.7428977272727275,720.0,0.19583333333333333,141.0,1.0,579.0,14.461139896373057,2.2271195674342112,8.0,21.0,13.0,15.0,1.0,214.0846286701209,11.0,13.0,15.0,16.0,17.0,-0.0032414794628610358,0.006920415224913495,2.1290429963181703,1.4775086505190311,480.0,0.23958333333333334,115.0,1.0,365.0,39.4986301369863,31.45674348136251,2.0,97.0,95.0,27.0,21.0,2549.6684931506848,6.399999999999999,9.0,27.0,71.0,82.60000000000002,0.25972587933064,0.18681318681318682,9.679662704040979,6.186813186813187
3,60,119.0,46.0,50.0,52.0,7.0,23.0,14.0,14.0,15.0,99.0,23.0,32580.0,4980.0,0.0,4800.0,21360.0,3510.0,720.0,1895.0,219.0,2370.0,14.0,10.0,18.0,1.0,10.0,54.0,group1,10,dataset_user_10_train.csv,638.0,0.003134796238244514,636.0,64.35849056603773,16.354093988186545,46.0,119.0,73.0,57.0,6.0,4409.471698113208,51.0,53.0,57.0,70.0,93.0,0.06386822422648133,0.048818897637795275,4.645459490791817,3.103937007874016,712.0,0.15589887640449437,111.0,1.0,601.0,13.908485856905157,2.0727078120402833,7.0,22.0,15.0,14.0,1.0,197.74209650582364,11.0,13.0,14.0,15.0,16.0,-0.000899110563236245,-0.0033333333333333335,2.0190729445851026,1.4166666666666667,475.0,0.21263157894736842,101.0,1.0,374.0,22.810160427807485,22.150646191753204,3.0,98.0,95.0,13.5,5.5,1010.9545454545455,7.0,9.0,13.5,25.0,61.0,0.13121153818583245,0.1903485254691689,8.094529522431921,4.919571045576408
3,77,107.0,54.0,59.0,63.0,7.0,22.0,15.0,14.0,15.0,95.0,24.0,20520.0,0.0,0.0,4200.0,15660.0,660.0,3300.0,2274.0,249.0,6237.0,14.0,12.0,19.0,2.0,27.0,66.0,group1,37,dataset_user_37_train.csv,691.0,0.001447178002894356,690.0,73.14202898550725,9.517038965236326,54.0,107.0,53.0,73.0,6.0,5440.330434782609,62.0,67.0,73.0,78.0,85.0,0.009343106115032525,-0.04354136429608128,5.197226814262012,3.4658925979680695,720.0,0.14722222222222223,106.0,1.0,614.0,14.978827361563518,2.2326875596297864,8.0,21.0,13.0,15.0,1.0,229.35016286644952,12.0,13.25,15.0,16.0,18.0,0.003573147208641559,-0.0032626427406199023,2.057887176811931,1.5106035889070146,480.0,0.15833333333333333,76.0,1.0,404.0,23.584158415841586,13.584548099366916,2.0,92.0,90.0,22.0,8.0,740.7524752475248,8.0,14.0,22.0,30.0,41.0,0.04566903340458115,-0.12903225806451613,9.222005498579627,6.069478908188586
4,80,109.0,50.0,52.0,52.0,8.0,22.0,14.0,15.0,14.0,96.0,19.0,25920.0,0.0,0.0,5730.0,19920.0,3120.0,540.0,1737.0,61.0,2652.0,15.0,12.0,19.0,4.0,19.0,57.0,group1,10,dataset_user_10_train.csv,672.0,0.001488095238095238,671.0,61.113263785394935,8.103594532073611,50.0,109.0,59.0,60.0,5.0,3800.499254843517,53.0,55.0,60.0,65.0,70.0,-0.00046894016186895633,-0.04328358208955224,4.699911840411573,3.0074626865671643,710.0,0.12816901408450704,91.0,1.0,619.0,14.453957996768983,2.190977903291288,8.0,21.0,13.0,15.0,1.0,213.7172859450727,12.0,13.0,15.0,16.0,17.0,-0.003548250489383329,-0.0016181229773462784,2.134247774488193,1.470873786407767,474.0,0.15822784810126583,75.0,1.0,399.0,19.280701754385966,8.411199331501873,5.0,84.0,79.0,18.0,5.0,442.4937343358396,10.0,14.0,18.0,24.0,28.0,-0.009752333094041638,-0.17587939698492464,5.603679794718496,3.64321608040201
4,100,110.0,47.0,49.5,58.0,7.0,21.0,13.0,15.0,15.0,96.0,29.0,24150.0,0.0,0.0,5520.0,14580.0,4260.0,300.0,2142.0,90.0,2149.0,15.0,11.0,18.0,0.0,11.5,53.0,group1,19,dataset_user_19_train.csv,40.0,0.025,39.0,87.94871794871794,7.372675532680838,78.0,110.0,32.0,87.0,4.0,7789.333333333333,79.0,84.0,87.0,91.0,95.0,-0.2738866396761134,-0.15789473684210525,6.289198408422064,3.9473684210526314,720.0,0.95,684.0,0.0,507.0,13.794871794871796,2.18522592478487,8.0,20.0,13.0,14.0,1.0,194.82879377431905,11.0,13.0,14.0,15.0,16.0,-0.0044655209466629075,-0.009708737864077669,2.2877965474140627,1.665551839464883,480.0,0.9520833333333333,457.0,0.0,323.5,28.894935517921887,19.793379883362498,2.0,87.5,83.0,23.0,11.75,1006.6630496250081,6.5,11.5,23.0,35.0,51.900000000000006,0.10612603266974169,0.010405124653739613,9.9583437574491,6.6445708955223886
